,count,mean,std,min,25%,50%,75%,max,median,skew
total_clicks,32593.0,1215.1412573251926,1692.6044493169065,0.0,142.0,602.0,1585.0,24139.0,602.0,3.028468369344154
n_days_active,32593.0,55.47568496302887,54.51529033986755,0.0,11.0,40.0,85.0,286.0,40.0,1.1747720806280284
mean_clicks_per_active_day,32593.0,17.07625805325391,12.399931992103316,0.0,9.411764705882353,15.0,23.157894736842106,221.2,15.0,1.5560784952498246
max_clicks_single_day,32593.0,109.85619611573037,142.90704799859614,0.0,34.0,74.0,139.0,6988.0,74.0,10.559275684042579
days_since_last_activity,32593.0,97.0203111097475,100.63147065612415,0.0,11.0,34.0,207.0,292.0,34.0,0.5739891584833562
mean_score_to_date,32593.0,57.028120415994344,33.281880431019395,0.0,40.0,70.2,82.25,100.0,70.2,-0.8523972653232572
weighted_score_to_date,32593.0,48.04670619458166,49.3073316222479,0.0,0.0,39.5,80.56,200.0,39.5,0.8570444791017793
n_assessments_submitted,32593.0,5.274690884545762,4.340190231194899,0.0,1.0,5.0,9.0,14.0,5.0,0.2782465356463823
num_of_prev_attempts,32593.0,0.16322523241186757,0.47975847416297385,0.0,0.0,0.0,0.0,6.0,0.0,3.8076748717289415
studied_credits,32593.0,79.75869051636855,41.07190026123349,30.0,60.0,60.0,120.0,655.0,60.0,1.8758374097959205
