model,t_percent,repeat,fold,roc_auc,pr_auc,f1,recall,precision,balanced_acc,brier
logreg,100,0,0,0.9836,0.9878,0.9427,0.9122,0.9753,0.943,0.0444
logreg,100,0,1,0.9844,0.9886,0.943,0.9176,0.9698,0.9427,0.0432
logreg,100,0,2,0.9851,0.9892,0.9476,0.9223,0.9744,0.9475,0.041
logreg,100,0,3,0.9859,0.9895,0.9453,0.9176,0.9747,0.9453,0.0412
logreg,100,0,4,0.9859,0.9888,0.9484,0.9234,0.9748,0.9482,0.0404
logreg,100,1,0,0.9811,0.9862,0.9381,0.9046,0.9743,0.9388,0.0479
logreg,100,1,1,0.9843,0.9879,0.9443,0.9161,0.9742,0.9444,0.0425
logreg,100,1,2,0.9857,0.9895,0.9478,0.9223,0.9748,0.9477,0.0406
logreg,100,1,3,0.9864,0.9899,0.948,0.9259,0.9712,0.9475,0.0397
logreg,100,1,4,0.9872,0.9904,0.9494,0.923,0.9774,0.9495,0.0396
logreg,100,2,0,0.9841,0.9882,0.9433,0.914,0.9746,0.9435,0.044
logreg,100,2,1,0.9849,0.9891,0.946,0.9205,0.9729,0.9458,0.0416
logreg,100,2,2,0.9849,0.9889,0.9458,0.9201,0.9729,0.9456,0.0422
logreg,100,2,3,0.9852,0.9891,0.9465,0.9215,0.9729,0.9463,0.0413
logreg,100,2,4,0.9854,0.9885,0.9433,0.9143,0.9742,0.9435,0.0417
logreg,100,3,0,0.9863,0.9898,0.9499,0.9241,0.9771,0.9498,0.0396
logreg,100,3,1,0.9836,0.9878,0.9396,0.9129,0.9678,0.9393,0.0452
logreg,100,3,2,0.9849,0.9891,0.9481,0.9237,0.9737,0.9478,0.041
logreg,100,3,3,0.9863,0.9897,0.9471,0.9219,0.9737,0.9469,0.0413
logreg,100,3,4,0.9838,0.9876,0.9423,0.9125,0.9741,0.9426,0.0431
logreg,100,4,0,0.987,0.9904,0.9507,0.9263,0.9764,0.9505,0.0383
logreg,100,4,1,0.9856,0.9886,0.9457,0.9187,0.9743,0.9457,0.0418
logreg,100,4,2,0.984,0.9884,0.944,0.9201,0.9692,0.9436,0.0428
logreg,100,4,3,0.9826,0.9873,0.9419,0.9143,0.9712,0.9419,0.0454
logreg,100,4,4,0.9852,0.9891,0.9429,0.9111,0.9771,0.9435,0.0426
rf,100,0,0,0.9838,0.9881,0.9454,0.9129,0.9802,0.9461,0.0434
rf,100,0,1,0.985,0.9889,0.9503,0.9227,0.9797,0.9505,0.0405
rf,100,0,2,0.9845,0.9889,0.9484,0.9212,0.9774,0.9486,0.0406
rf,100,0,3,0.9855,0.9894,0.9492,0.923,0.977,0.9493,0.0404
rf,100,0,4,0.9859,0.9892,0.9494,0.9219,0.9785,0.9495,0.0402
rf,100,1,0,0.9814,0.9862,0.9401,0.9071,0.9755,0.9407,0.0458
rf,100,1,1,0.9845,0.988,0.9483,0.919,0.9796,0.9487,0.0411
rf,100,1,2,0.9848,0.9892,0.9515,0.9212,0.9838,0.952,0.0397
rf,100,1,3,0.9873,0.9908,0.9556,0.9324,0.9799,0.9554,0.0373
rf,100,1,4,0.9861,0.9896,0.9487,0.9219,0.977,0.9487,0.0406
rf,100,2,0,0.9846,0.9884,0.9489,0.9161,0.9841,0.9497,0.042
rf,100,2,1,0.9846,0.9884,0.9482,0.923,0.9748,0.9481,0.0411
rf,100,2,2,0.9849,0.9889,0.9479,0.918,0.9799,0.9484,0.0414
rf,100,2,3,0.9856,0.9893,0.9479,0.9201,0.9773,0.948,0.0406
rf,100,2,4,0.9846,0.9888,0.9494,0.9197,0.9811,0.9499,0.0402
rf,100,3,0,0.9863,0.99,0.954,0.9266,0.9831,0.9544,0.039
rf,100,3,1,0.9831,0.9876,0.9435,0.9118,0.9775,0.9441,0.044
rf,100,3,2,0.9859,0.9895,0.9503,0.9219,0.9804,0.9506,0.04
rf,100,3,3,0.9857,0.9889,0.9506,0.9226,0.9804,0.9509,0.0407
rf,100,3,4,0.9832,0.9879,0.9466,0.9161,0.9791,0.9471,0.0416
rf,100,4,0,0.9855,0.9898,0.9518,0.9234,0.9819,0.9521,0.0388
rf,100,4,1,0.9852,0.9888,0.9485,0.9223,0.9763,0.9485,0.0404
rf,100,4,2,0.9853,0.9885,0.9474,0.9215,0.9748,0.9473,0.041
rf,100,4,3,0.9813,0.9867,0.9439,0.9125,0.9775,0.9444,0.0449
rf,100,4,4,0.9842,0.9887,0.949,0.9176,0.9826,0.9496,0.041
xgb,100,0,0,0.9853,0.9893,0.9502,0.9277,0.9738,0.9498,0.0408
xgb,100,0,1,0.9867,0.9903,0.9502,0.931,0.9702,0.9494,0.0395
xgb,100,0,2,0.9865,0.9902,0.9511,0.9309,0.9721,0.9504,0.0392
xgb,100,0,3,0.9865,0.9901,0.9493,0.9313,0.9681,0.9483,0.0405
xgb,100,0,4,0.9871,0.9906,0.9515,0.932,0.9717,0.9507,0.0379
xgb,100,1,0,0.9842,0.9882,0.9408,0.9161,0.9668,0.9403,0.0456
xgb,100,1,1,0.9859,0.9897,0.9482,0.9273,0.9701,0.9476,0.0416
xgb,100,1,2,0.9869,0.9905,0.9536,0.9324,0.9758,0.9532,0.0378
xgb,100,1,3,0.9881,0.9915,0.9587,0.9429,0.975,0.9578,0.0344
xgb,100,1,4,0.988,0.991,0.9497,0.9309,0.9691,0.9488,0.0391
xgb,100,2,0,0.9863,0.9899,0.9452,0.9234,0.9682,0.9446,0.0415
xgb,100,2,1,0.9861,0.9899,0.9506,0.9349,0.9667,0.9493,0.0407
xgb,100,2,2,0.9869,0.9905,0.9525,0.9317,0.9743,0.952,0.0379
