model,t_percent,attribute,level,n,at_risk_rate,recall,fpr,precision,f1
xgb,100,gender,F,2846,0.5028,0.9217,0.0325,0.9663,0.9435
xgb,100,gender,M,3643,0.5339,0.9445,0.0236,0.9787,0.9613
xgb,100,disability,N,5884,0.5093,0.9333,0.026,0.9739,0.9531
xgb,100,disability,Y,605,0.6264,0.9472,0.0487,0.9703,0.9586
xgb,100,age_band,0-35,4498,0.5407,0.9371,0.0305,0.9731,0.9548
xgb,100,age_band,35-55,1949,0.4772,0.928,0.0216,0.9751,0.951
xgb,100,age_band,55<=,42,0.3333,1.0,0.0357,0.9333,0.9655
xgb,100,imd_band,0-10%,656,0.6814,0.9262,0.0574,0.9718,0.9485
xgb,100,imd_band,10-20,687,0.6084,0.945,0.0483,0.9681,0.9564
xgb,100,imd_band,20-30%,722,0.5873,0.9623,0.0369,0.9737,0.968
xgb,100,imd_band,30-40%,709,0.4781,0.944,0.027,0.9697,0.9567
xgb,100,imd_band,40-50%,594,0.5471,0.9415,0.0297,0.9745,0.9577
xgb,100,imd_band,50-60%,638,0.4922,0.9236,0.0247,0.9732,0.9477
xgb,100,imd_band,60-70%,569,0.4798,0.956,0.0236,0.9739,0.9649
xgb,100,imd_band,70-80%,596,0.4748,0.9046,0.0256,0.9697,0.936
xgb,100,imd_band,80-90%,585,0.4581,0.9254,0.0063,0.992,0.9575
xgb,100,imd_band,90-100%,490,0.4082,0.9,0.0172,0.973,0.9351
xgb,100,imd_band,Missing,243,0.3498,0.9176,0.0127,0.975,0.9455
xgb,100,highest_education,A Level or Equivalent,2751,0.4744,0.9326,0.0242,0.972,0.9519
xgb,100,highest_education,HE Qualification,943,0.4189,0.9418,0.0091,0.9867,0.9637
xgb,100,highest_education,Lower Than A Level,2648,0.6031,0.9355,0.0428,0.9708,0.9528
xgb,100,highest_education,No Formal quals,75,0.7467,0.9107,0.0526,0.9808,0.9444
xgb,100,highest_education,Post Graduate Qualification,72,0.3194,0.9565,0.0,1.0,0.9778
xgb,100,region,East Anglian Region,686,0.5029,0.9188,0.0205,0.9784,0.9477
xgb,100,region,East Midlands Region,456,0.511,0.927,0.0269,0.973,0.9495
xgb,100,region,Ireland,260,0.4654,0.9091,0.0216,0.9735,0.9402
xgb,100,region,London Region,629,0.5644,0.938,0.0292,0.9765,0.9569
xgb,100,region,North Region,372,0.4946,0.9402,0.0106,0.9886,0.9638
xgb,100,region,North Western Region,591,0.5838,0.9362,0.0407,0.97,0.9528
xgb,100,region,Scotland,671,0.5052,0.9263,0.0181,0.9812,0.953
xgb,100,region,South East Region,419,0.4821,0.9406,0.0092,0.9896,0.9645
xgb,100,region,South Region,616,0.4805,0.9392,0.0281,0.9686,0.9537
xgb,100,region,South West Region,481,0.4844,0.9313,0.0282,0.9688,0.9497
xgb,100,region,Wales,427,0.5667,0.9545,0.0541,0.9585,0.9565
xgb,100,region,West Midlands Region,505,0.5564,0.9537,0.0491,0.9606,0.9571
xgb,100,region,Yorkshire Region,376,0.5319,0.93,0.0284,0.9738,0.9514
