model,strategy,roc_auc,pr_auc,f1,recall,precision,balanced_acc,brier
ann,ADASYN,0.987,0.9898,0.9479,0.9224,0.975,0.9483,0.0401
ann,SMOTE,0.9866,0.9896,0.9475,0.931,0.9647,0.947,0.0412
ann,none,0.9872,0.99,0.9467,0.923,0.9716,0.9469,0.0402
lgbm,ADASYN,0.9888,0.9912,0.9513,0.9283,0.9754,0.9515,0.037
lgbm,SMOTE,0.9888,0.9912,0.95,0.9283,0.9727,0.95,0.0371
lgbm,class_weight,0.989,0.9914,0.9523,0.9292,0.9767,0.9526,0.0364
lgbm,none,0.9887,0.9912,0.9515,0.9307,0.9734,0.9515,0.0369
logreg,ADASYN,0.9852,0.9888,0.9444,0.91,0.9815,0.9457,0.0419
logreg,SMOTE,0.9858,0.9891,0.9462,0.9165,0.9779,0.947,0.0414
logreg,class_weight,0.9858,0.9891,0.9463,0.9159,0.9788,0.9472,0.0413
logreg,none,0.9859,0.9891,0.946,0.9177,0.9761,0.9466,0.0411
rf,ADASYN,0.9861,0.9892,0.9477,0.9159,0.9819,0.9488,0.0407
rf,SMOTE,0.9862,0.9892,0.9474,0.9203,0.9761,0.948,0.0408
rf,class_weight,0.9867,0.9895,0.948,0.9212,0.9765,0.9486,0.0405
rf,none,0.9872,0.9899,0.9487,0.9212,0.978,0.9494,0.0399
xgb,ADASYN,0.9869,0.9901,0.9487,0.9277,0.9706,0.9486,0.0394
xgb,SMOTE,0.9877,0.9907,0.9538,0.9348,0.9735,0.9536,0.0374
xgb,class_weight,0.9869,0.9901,0.951,0.9292,0.9739,0.9511,0.0388
xgb,none,0.987,0.9902,0.9505,0.9328,0.9689,0.9502,0.0388
