model,t_percent,roc_auc,pr_auc,f1,recall,precision,balanced_acc,brier
ann,10,0.8384,0.8684,0.7419,0.678,0.819,0.7577,0.1635
ann,20,0.8768,0.9038,0.7959,0.7616,0.8334,0.7982,0.1407
ann,40,0.9254,0.9447,0.8415,0.7731,0.9232,0.8517,0.1087
ann,60,0.9575,0.9685,0.8928,0.8525,0.9372,0.8952,0.0766
ann,80,0.9754,0.9814,0.9199,0.8877,0.9545,0.9209,0.057
ann,100,0.9866,0.9896,0.9475,0.931,0.9647,0.947,0.0412
lgbm,10,0.8411,0.8701,0.7563,0.7145,0.8035,0.7625,0.1612
lgbm,20,0.8796,0.9062,0.7993,0.7648,0.837,0.8016,0.1384
lgbm,40,0.9281,0.9463,0.8521,0.8089,0.9001,0.8558,0.1038
lgbm,60,0.959,0.9698,0.8942,0.864,0.9266,0.8949,0.0746
lgbm,80,0.9764,0.9825,0.9283,0.8987,0.9598,0.929,0.054
lgbm,100,0.9888,0.9912,0.95,0.9283,0.9727,0.95,0.0371
logreg,10,0.8287,0.8591,0.7342,0.6677,0.8155,0.7519,0.1673
logreg,20,0.8714,0.8972,0.7816,0.726,0.8463,0.7915,0.1439
logreg,40,0.918,0.939,0.8436,0.7885,0.907,0.8504,0.1101
logreg,60,0.9555,0.9668,0.8906,0.8498,0.9354,0.8931,0.0783
logreg,80,0.9744,0.9806,0.9218,0.8883,0.9578,0.923,0.0582
logreg,100,0.9858,0.9891,0.9462,0.9165,0.9779,0.947,0.0414
rf,10,0.8343,0.8622,0.7429,0.6869,0.8089,0.7554,0.1644
rf,20,0.8721,0.8988,0.7889,0.7464,0.8364,0.794,0.1427
rf,40,0.9248,0.9435,0.8522,0.8042,0.9062,0.857,0.105
rf,60,0.9587,0.9688,0.8945,0.8587,0.9334,0.8961,0.0753
rf,80,0.974,0.9806,0.9265,0.8945,0.9609,0.9275,0.0561
rf,100,0.9862,0.9892,0.9474,0.9203,0.9761,0.948,0.0408
xgb,10,0.8285,0.8613,0.7412,0.7115,0.7736,0.7428,0.1691
xgb,20,0.869,0.8985,0.7869,0.7592,0.8168,0.7872,0.1463
xgb,40,0.9234,0.9433,0.8504,0.8116,0.8931,0.8531,0.1084
xgb,60,0.9556,0.9679,0.8941,0.8706,0.919,0.8937,0.0778
xgb,80,0.9731,0.9802,0.9229,0.899,0.9481,0.9228,0.0586
xgb,100,0.9877,0.9907,0.9538,0.9348,0.9735,0.9536,0.0374
