metric,model_a,model_b,mean_a,mean_b,better,wilcoxon_stat,p_raw,p_holm,significant_0.05
recall,ann,lgbm,0.9238,0.9294,lgbm,38.0,0.0003764033317565918,0.00188,True
recall,ann,logreg,0.9238,0.9184,ann,44.0,0.0014295696139577992,0.00572,True
recall,ann,rf,0.9238,0.9199,ann,72.5,0.015437438228755361,0.04631,True
recall,ann,xgb,0.9238,0.9307,xgb,28.0,0.00029520589547232725,0.00177,True
recall,lgbm,logreg,0.9294,0.9184,lgbm,0.0,1.223471913060967e-05,0.00012,True
recall,lgbm,rf,0.9294,0.9199,lgbm,0.0,1.2058148019495829e-05,0.00012,True
recall,lgbm,xgb,0.9294,0.9307,xgb,76.5,0.020610623873516334,0.04631,True
recall,logreg,rf,0.9184,0.9199,rf,85.5,0.038149962538404296,0.04631,True
recall,logreg,xgb,0.9184,0.9307,xgb,0.0,1.2268056633232531e-05,0.00012,True
recall,rf,xgb,0.9199,0.9307,xgb,0.0,1.2279185361336645e-05,0.00012,True
f1,ann,lgbm,0.946,0.9515,lgbm,0.0,1.2256936021619928e-05,0.00012,True
f1,ann,logreg,0.946,0.9453,ann,93.5,0.06332352779192617,0.06332,False
f1,ann,rf,0.946,0.9486,rf,23.5,0.00018385195890324114,0.00074,True
f1,ann,xgb,0.946,0.9506,xgb,0.0,1.2268056633232531e-05,0.00012,True
f1,lgbm,logreg,0.9515,0.9453,lgbm,0.0,1.2223622842585624e-05,0.00012,True
f1,lgbm,rf,0.9515,0.9486,lgbm,0.0,1.2146175363820999e-05,0.00012,True
f1,lgbm,xgb,0.9515,0.9506,lgbm,72.5,0.015418816239713294,0.03084,True
f1,logreg,rf,0.9453,0.9486,rf,1.0,1.386070375650438e-05,0.00012,True
f1,logreg,xgb,0.9453,0.9506,xgb,0.0,1.2256936021619928e-05,0.00012,True
f1,rf,xgb,0.9486,0.9506,xgb,29.0,0.0003268319255144868,0.00098,True
pr_auc,ann,lgbm,0.9891,0.9907,lgbm,0.0,1.2113104709718439e-05,0.00012,True
pr_auc,ann,logreg,0.9891,0.9888,ann,67.5,0.010548394213758708,0.0211,True
pr_auc,ann,rf,0.9891,0.9887,ann,53.0,0.003195178957498808,0.00959,True
pr_auc,ann,xgb,0.9891,0.9901,xgb,5.0,2.23761403371622e-05,0.00012,True
pr_auc,lgbm,logreg,0.9907,0.9888,lgbm,0.0,1.2157215047642698e-05,0.00012,True
pr_auc,lgbm,rf,0.9907,0.9887,lgbm,0.0,1.2168262804861416e-05,0.00012,True
pr_auc,lgbm,xgb,0.9907,0.9901,lgbm,0.0,1.1721879206488089e-05,0.00012,True
pr_auc,logreg,rf,0.9888,0.9887,logreg,154.5,0.8292331845492138,0.82923,False
pr_auc,logreg,xgb,0.9888,0.9901,xgb,0.0,1.2146175363820999e-05,0.00012,True
pr_auc,rf,xgb,0.9887,0.9901,xgb,1.0,1.3675355632803603e-05,0.00012,True
roc_auc,ann,lgbm,0.985,0.9874,lgbm,0.0,1.2245823522183564e-05,0.00012,True
roc_auc,ann,logreg,0.985,0.9849,ann,116.0,0.21041731041619383,0.41156,False
roc_auc,ann,rf,0.985,0.9848,ann,89.5,0.04933128331862658,0.14799,False
roc_auc,ann,xgb,0.985,0.9865,xgb,1.0,1.3749254671677017e-05,0.00012,True
roc_auc,lgbm,logreg,0.9874,0.9849,lgbm,0.0,1.2113104709718439e-05,0.00012,True
roc_auc,lgbm,rf,0.9874,0.9848,lgbm,0.0,1.2113104709718439e-05,0.00012,True
roc_auc,lgbm,xgb,0.9874,0.9865,lgbm,0.5,1.2918203985987877e-05,0.00012,True
roc_auc,logreg,rf,0.9849,0.9848,logreg,115.5,0.20578001303908589,0.41156,False
roc_auc,logreg,xgb,0.9849,0.9865,xgb,1.5,1.467027385353046e-05,0.00012,True
roc_auc,rf,xgb,0.9848,0.9865,xgb,0.0,1.2179318639780734e-05,0.00012,True
