feature,none,class_weight,smote,adasyn
num__days_since_last_activity,3.535155,3.6167545,3.6585696,3.626905
num__weighted_score_to_date,2.2308338,2.2231002,2.2380843,2.1254897
num__mean_score_to_date,0.624794,0.622615,0.60888356,0.63643426
num__n_assessments_submitted,0.3925789,0.369287,0.36177853,0.446686
nominal__code_module_DDD,0.37461132,0.30875856,0.34332165,0.31794834
num__clicks_oucontent,0.21170957,0.19318941,0.20668209,0.16390383
nominal__code_module_FFF,0.1952534,0.2173993,0.12969036,0.19921453
num__clicks_homepage,0.1766203,0.2059476,0.15549712,0.22707705
num__clicks_url,0.17496505,0.20938206,0.1897632,0.20773818
num__clicks_subpage,0.16631101,0.16916808,0.17836507,0.19267172
num__total_clicks,0.16520227,0.11780044,0.15867819,0.15276484
num__clicks_resource,0.16077405,0.13116136,0.13423982,0.12435604
num__n_days_active,0.14468269,0.14627294,0.13969314,0.13717459
indicator__not_submitted,0.1416754,0.13521431,0.15600273,0.17644612
num__mean_clicks_per_active_day,0.14055645,0.14481208,0.12995668,0.12666367
num__num_of_prev_attempts,0.13786301,0.14367037,0.13440542,0.13800345
num__date_registration,0.11970572,0.120211504,0.100065574,0.11757128
num__clicks_forumng,0.11157841,0.15925962,0.16535719,0.12082604
num__clicks_quiz,0.11037295,0.11775532,0.1103314,0.15664262
ordinal__highest_education,0.1099417,0.09436391,0.09413015,0.099361144
nominal__code_module_CCC,0.10708425,0.12803532,0.1137888,0.07085596
ordinal__imd_band,0.1015204,0.08800245,0.11648414,0.09834207
num__max_clicks_single_day,0.090705365,0.11472047,0.10849037,0.108627774
nominal__code_module_BBB,0.08585077,0.06944971,0.056199513,0.040798392
nominal__code_presentation_2014B,0.08188723,0.08304838,0.073595695,0.089335866
ordinal__age_band,0.075320035,0.059844177,0.05856209,0.0735914
nominal__code_presentation_2013B,0.07366359,0.051716153,0.07919046,0.08624651
num__clicks_oucollaborate,0.07270165,0.060555078,0.05570595,0.07624185
num__studied_credits,0.062242314,0.07391276,0.057696935,0.070232324
nominal__code_presentation_2013J,0.048975434,0.03863904,0.041141033,0.050551116
binary__gender,0.040335577,0.047689993,0.053195234,0.03883351
nominal__region_South Region,0.03946423,0.022826836,0.031078301,0.024808329
nominal__region_East Anglian Region,0.036510285,0.04357912,0.040312562,0.05032534
nominal__region_South West Region,0.034316313,0.033440772,0.031587165,0.02879639
nominal__code_module_GGG,0.028429702,0.036633424,0.0264234,0.04382607
nominal__region_Yorkshire Region,0.02730716,0.01747919,0.024802018,0.022985512
nominal__code_presentation_2014J,0.02374005,0.012340557,0.023836743,0.027202424
nominal__region_North Western Region,0.018797195,0.02390503,0.034749143,0.031158017
nominal__region_South East Region,0.018022608,0.01709061,0.017410832,0.016466679
nominal__region_Scotland,0.016333152,0.014538337,0.017044462,0.019363914
nominal__region_North Region,0.01590539,0.012726645,0.012667719,0.019340204
nominal__region_East Midlands Region,0.015899684,0.011515103,0.016290378,0.020647945
nominal__region_London Region,0.015499448,0.023837697,0.02133866,0.024567012
binary__disability,0.014055641,0.011964874,0.018841758,0.021572398
nominal__region_West Midlands Region,0.012465926,0.011257616,0.02278119,0.0147935115
nominal__region_Ireland,0.010303974,0.009320361,0.011291381,0.009803901
nominal__region_Wales,0.009915136,0.0118732685,0.015401781,0.018137917
nominal__code_module_EEE,0.0085578775,0.015047146,0.0071330694,0.0063639455
nominal__code_module_AAA,0.0034377186,0.004988769,0.006345317,0.0034090986
