feature,importance
num__days_since_last_activity,3.6585696
num__weighted_score_to_date,2.2380843
num__mean_score_to_date,0.60888356
num__n_assessments_submitted,0.36177853
nominal__code_module_DDD,0.34332165
num__clicks_oucontent,0.20668209
num__clicks_url,0.1897632
num__clicks_subpage,0.17836507
num__clicks_forumng,0.16535719
num__total_clicks,0.15867819
indicator__not_submitted,0.15600273
num__clicks_homepage,0.15549712
num__n_days_active,0.13969314
num__num_of_prev_attempts,0.13440542
num__clicks_resource,0.13423982
num__mean_clicks_per_active_day,0.12995668
nominal__code_module_FFF,0.12969036
ordinal__imd_band,0.11648414
nominal__code_module_CCC,0.1137888
num__clicks_quiz,0.1103314
num__max_clicks_single_day,0.10849037
num__date_registration,0.100065574
ordinal__highest_education,0.09413015
nominal__code_presentation_2013B,0.07919046
nominal__code_presentation_2014B,0.073595695
ordinal__age_band,0.05856209
num__studied_credits,0.057696935
nominal__code_module_BBB,0.056199513
num__clicks_oucollaborate,0.05570595
binary__gender,0.053195234
nominal__code_presentation_2013J,0.041141033
nominal__region_East Anglian Region,0.040312562
nominal__region_North Western Region,0.034749143
nominal__region_South West Region,0.031587165
nominal__region_South Region,0.031078301
nominal__code_module_GGG,0.0264234
nominal__region_Yorkshire Region,0.024802018
nominal__code_presentation_2014J,0.023836743
nominal__region_West Midlands Region,0.02278119
nominal__region_London Region,0.02133866
binary__disability,0.018841758
nominal__region_South East Region,0.017410832
nominal__region_Scotland,0.017044462
nominal__region_East Midlands Region,0.016290378
nominal__region_Wales,0.015401781
nominal__region_North Region,0.012667719
nominal__region_Ireland,0.011291381
nominal__code_module_EEE,0.0071330694
nominal__code_module_AAA,0.006345317
